rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1520440529147929481,,255,,1520440529,119025344,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529187496290,,256,,1520440529,161025344,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529249461050,,257,,1520440529,192544652,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529276095106,,258,,1520440529,259544652,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529347629582,,259,,1520440529,319618510,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529392208325,,260,,1520440529,363618510,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529423847030,,261,,1520440529,391396830,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529480265954,,262,,1520440529,454396830,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529533155653,,263,,1520440529,510765879,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529574149913,,264,,1520440529,555765879,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529631992228,,265,,1520440529,616857536,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529673024472,,266,,1520440529,661857536,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529744149023,,267,,1520440529,705902592,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529779199950,,268,,1520440529,749902592,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529850726809,,269,,1520440529,823526464,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529900995708,,270,,1520440529,867526464,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529943315958,,271,,1520440529,909527872,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440529977245096,,272,,1520440529,975527872,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440530032486325,,273,,1520440530,11096930,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440530077729541,,274,,1520440530,55096930,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440530123327217,,275,,1520440530,100190208,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440530177959906,,276,,1520440530,167190208,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440530251164308,,277,,1520440530,212807424,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440530278298983,,278,,1520440530,254807424,'',255,"[1478, 1483, 1086, 1515, 1901, 1901, 1099]"
1520440530332967946,,279,,1520440530,305800448,'',255,"[1478, 1485, 1086, 1515, 1901, 1901, 1099]"
