rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,group_mix,controls
1520440529187445128,,128,,1520440529,178560344,'',0,"[0.004980830475687981, -0.01166540663689375, -0.17654508352279663, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529303041969,,129,,1520440529,286150510,'',0,"[0.004500686656683683, -0.011863669380545616, -0.1732306331396103, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529392095126,,130,,1520440529,382152510,'',0,"[0.004678515251725912, -0.011924829334020615, -0.17034035921096802, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529482263541,,131,,1520440529,463933830,'',0,"[0.004320616368204355, -0.011784233152866364, -0.16701990365982056, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529583654228,,132,,1520440529,579296879,'',0,"[0.004373038187623024, -0.012065896764397621, -0.16419750452041626, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529685183702,,133,,1520440529,672397536,'',0,"[0.004136479459702969, -0.012741453014314175, -0.16114985942840576, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529779405168,,134,,1520440529,769247592,'',0,"[0.004312156233936548, -0.012335097417235374, -0.1582702249288559, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529901249778,,135,,1520440529,877857464,'',0,"[0.004259183071553707, -0.012329705990850925, -0.1550620198249817, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440529983474363,,136,,1520440529,975862872,'',0,"[0.004172224085777998, -0.012382498010993004, -0.15222689509391785, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530081647755,,137,,1520440530,73452930,'',0,"[0.004761054180562496, -0.011440293863415718, -0.14915844798088074, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530178103939,,138,,1520440530,167478208,'',0,"[0.004399025812745094, -0.012232883833348751, -0.146616131067276, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530301335121,,139,,1520440530,272149424,'',0,"[0.004197868052870035, -0.01263582706451416, -0.14370551705360413, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530376554241,,140,,1520440530,373135448,'',0,"[0.004284558352082968, -0.012656042352318764, -0.14097429811954498, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530502483164,,141,,1520440530,476333216,'',0,"[0.004578996449708939, -0.011969642713665962, -0.13805468380451202, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530591877285,,142,,1520440530,575084016,'',0,"[0.004298263695091009, -0.012732061557471752, -0.1354702115058899, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530702661168,,143,,1520440530,660207098,'',0,"[0.004442498553544283, -0.012564136646687984, -0.13267388939857483, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530804183202,,144,,1520440530,778845575,'',0,"[0.004372294992208481, -0.01237052958458662, -0.12990494072437286, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530893633424,,145,,1520440530,881125624,'',0,"[0.004393282812088728, -0.012505592778325081, -0.12704315781593323, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440530983298596,,146,,1520440530,979032112,'',0,"[0.004591197241097689, -0.012272953987121582, -0.12450211495161057, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531091171184,,147,,1520440531,79608048,'',0,"[0.004148405510932207, -0.012566967867314816, -0.12182973325252533, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531184709262,,148,,1520440531,171615048,'',0,"[0.004313038196414709, -0.012781965546309948, -0.1193758174777031, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531295467513,,149,,1520440531,278215952,'',0,"[0.004408063367009163, -0.012934945523738861, -0.11656954139471054, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531402060500,,150,,1520440531,368884736,'',0,"[0.004758120980113745, -0.012752339243888855, -0.11437802761793137, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531501067154,,151,,1520440531,476433496,'',0,"[0.003980181645601988, -0.013242559507489204, -0.11171513795852661, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531593931120,,152,,1520440531,575216536,'',0,"[0.004175987094640732, -0.012659340165555477, -0.10925492644309998, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531701503178,,153,,1520440531,676985120,'',0,"[0.004144300706684589, -0.012684534303843975, -0.10674718767404556, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531782822222,,154,,1520440531,758013245,'',0,"[0.004255387932062149, -0.01263811718672514, -0.104330874979496, 0.0, 0.0, 0.0, 0.0, -1.0]"
1520440531881707055,,155,,1520440531,872375477,'',0,"[0.004053375218063593, -0.01279549952596426, -0.10191798210144043, 0.0, 0.0, 0.0, 0.0, -1.0]"
