rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vtol_state,landed_state
1520440549692846227,,166,,1520440549,692352824,'',0,2
1520440549900812896,,167,,1520440549,900545932,'',0,2
1520440550100126048,,168,,1520440550,99839834,'',0,2
1520440550300560674,,169,,1520440550,300229461,'',0,2
1520440550500430966,,170,,1520440550,500156116,'',0,2
1520440550912514495,,171,,1520440550,912316056,'',0,2
1520440551102752559,,172,,1520440551,102450126,'',0,2
1520440551302650481,,173,,1520440551,302345241,'',0,2
1520440551548325161,,174,,1520440551,546994170,'',0,2
1520440551745917163,,175,,1520440551,743602343,'',0,2
1520440551903427433,,176,,1520440551,903089444,'',0,2
1520440552102253043,,177,,1520440552,101345832,'',0,2
1520440552301492547,,178,,1520440552,300549396,'',0,2
1520440552500608831,,179,,1520440552,500347472,'',0,2
1520440552704843096,,180,,1520440552,704051476,'',0,2
1520440552903783631,,181,,1520440552,903394341,'',0,2
1520440553143811046,,182,,1520440553,142985367,'',0,2
1520440553320676553,,183,,1520440553,318427632,'',0,2
1520440553500533946,,184,,1520440553,500129306,'',0,2
1520440553700395642,,185,,1520440553,700000469,'',0,2
1520440553907318736,,186,,1520440553,907066425,'',0,2
1520440554139239629,,187,,1520440554,138002481,'',0,2
1520440554316808530,,188,,1520440554,316438921,'',0,2
1520440554523447449,,189,,1520440554,522660575,'',0,2
1520440554732549687,,190,,1520440554,731933860,'',0,2
1520440554932538741,,191,,1520440554,932030538,'',0,2
1520440555133842606,,192,,1520440555,132518436,'',0,2
1520440555342850959,,193,,1520440555,342146052,'',0,2
1520440555546384845,,194,,1520440555,544834560,'',0,2
1520440555742327891,,195,,1520440555,741877703,'',0,2
1520440555934786718,,196,,1520440555,934165005,'',0,2
1520440556132404804,,197,,1520440556,131815674,'',0,2
1520440556351464014,,198,,1520440556,350376218,'',0,2
1520440556544345448,,199,,1520440556,543279868,'',0,2
1520440556743789150,,200,,1520440556,742620561,'',0,2
1520440556944464314,,201,,1520440556,943653137,'',0,2
1520440557152990240,,202,,1520440557,150607420,'',0,2
1520440557370751475,,203,,1520440557,369374514,'',0,2
1520440557541943277,,204,,1520440557,541353678,'',0,2
1520440557758572960,,205,,1520440557,757542696,'',0,2
1520440557947598395,,206,,1520440557,947006459,'',0,2
1520440558142607991,,207,,1520440558,142147497,'',0,2
1520440558351481432,,208,,1520440558,350952139,'',0,2
1520440558545101486,,209,,1520440558,544013385,'',0,2
1520440558750355491,,210,,1520440558,749945352,'',0,2
1520440558951027150,,211,,1520440558,950304523,'',0,2
1520440559144710679,,212,,1520440559,143935374,'',0,2
1520440559357707071,,213,,1520440559,355490586,'',0,2
1520440559541759932,,214,,1520440559,541336111,'',0,2
1520440559752288894,,215,,1520440559,751637099,'',0,2
1520440559942251758,,216,,1520440559,942001316,'',0,2
1520440560142146030,,217,,1520440560,141762865,'',0,2
1520440560352201525,,218,,1520440560,351169836,'',0,2
1520440560551819632,,219,,1520440560,550680396,'',0,2
1520440560747965501,,220,,1520440560,747329179,'',0,2
