rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage,location,serial_number
1520440529267315681,,66,,1520440529,266783666,'',23.2059993744,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.808000087738037, 5.808000087738037, 5.808000087738037, 5.808000087738037]","""id0""",''
1520440529479486642,,67,,1520440529,479256866,'',23.2000007629,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.785999774932861, 5.785999774932861, 5.785999774932861, 5.785999774932861]","""id0""",''
1520440529663470250,,68,,1520440529,662818984,'',23.2019996643,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.804999828338623, 5.804999828338623, 5.804999828338623, 5.804999828338623]","""id0""",''
1520440529877745211,,69,,1520440529,876162266,'',23.202999115,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.804999828338623, 5.804999828338623, 5.804999828338623, 5.804999828338623]","""id0""",''
1520440530063730852,,70,,1520440530,63405204,'',23.2019996643,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.78000020980835, 5.78000020980835, 5.78000020980835, 5.78000020980835]","""id0""",''
1520440530267954947,,71,,1520440530,267429289,'',23.2019996643,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.804999828338623, 5.804999828338623, 5.804999828338623, 5.804999828338623]","""id0""",''
1520440530477775567,,72,,1520440530,477099855,'',23.2010002136,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.798999786376953, 5.798999786376953, 5.798999786376953, 5.798999786376953]","""id0""",''
1520440530676286370,,73,,1520440530,675543020,'',23.2000007629,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440530878916388,,74,,1520440530,877312904,'',23.1959991455,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.794000148773193, 5.794000148773193, 5.794000148773193, 5.794000148773193]","""id0""",''
1520440531065765904,,75,,1520440531,65398562,'',23.1970005035,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.798999786376953, 5.798999786376953, 5.798999786376953, 5.798999786376953]","""id0""",''
1520440531263037954,,76,,1520440531,262346546,'',23.1970005035,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.796999931335449, 5.796999931335449, 5.796999931335449, 5.796999931335449]","""id0""",''
1520440531472306867,,77,,1520440531,471737938,'',23.1989994049,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.808000087738037, 5.808000087738037, 5.808000087738037, 5.808000087738037]","""id0""",''
1520440531701199575,,78,,1520440531,700173885,'',23.2010002136,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440531875047125,,79,,1520440531,874462665,'',23.2019996643,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440532072481244,,80,,1520440532,72078562,'',23.2010002136,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440532267493244,,81,,1520440532,267147197,'',23.2059993744,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.813000202178955, 5.813000202178955, 5.813000202178955, 5.813000202178955]","""id0""",''
1520440532477060944,,82,,1520440532,476475454,'',23.2099990845,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.809999942779541, 5.809999942779541, 5.809999942779541, 5.809999942779541]","""id0""",''
1520440532694212301,,83,,1520440532,693628621,'',23.2070007324,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.790999889373779, 5.790999889373779, 5.790999889373779, 5.790999889373779]","""id0""",''
1520440532861693575,,84,,1520440532,861314613,'',23.2049999237,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.804999828338623, 5.804999828338623, 5.804999828338623, 5.804999828338623]","""id0""",''
1520440533091370312,,85,,1520440533,90540665,'',23.202999115,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.804999828338623, 5.804999828338623, 5.804999828338623, 5.804999828338623]","""id0""",''
1520440533267855887,,86,,1520440533,266700131,'',23.2010002136,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.798999786376953, 5.798999786376953, 5.798999786376953, 5.798999786376953]","""id0""",''
1520440533477103035,,87,,1520440533,476224868,'',23.2019996643,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440533677054344,,88,,1520440533,676503814,'',23.2059993744,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.798999786376953, 5.798999786376953, 5.798999786376953, 5.798999786376953]","""id0""",''
1520440533877148104,,89,,1520440533,876407287,'',23.204000473,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.785999774932861, 5.785999774932861, 5.785999774932861, 5.785999774932861]","""id0""",''
1520440534077567420,,90,,1520440534,76425250,'',23.1970005035,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.796999931335449, 5.796999931335449, 5.796999931335449, 5.796999931335449]","""id0""",''
1520440534267855374,,91,,1520440534,266960560,'',23.1959991455,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.785999774932861, 5.785999774932861, 5.785999774932861, 5.785999774932861]","""id0""",''
1520440534461448081,,92,,1520440534,461184181,'',23.1959991455,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440534662581201,,93,,1520440534,662213005,'',23.1970005035,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.796999931335449, 5.796999931335449, 5.796999931335449, 5.796999931335449]","""id0""",''
1520440534877649728,,94,,1520440534,876980411,'',23.1979999542,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.790999889373779, 5.790999889373779, 5.790999889373779, 5.790999889373779]","""id0""",''
1520440535076779676,,95,,1520440535,76053723,'',23.1989994049,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440535267473646,,96,,1520440535,266966886,'',23.2010002136,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440535497824683,,97,,1520440535,494512801,'',23.202999115,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.794000148773193, 5.794000148773193, 5.794000148773193, 5.794000148773193]","""id0""",''
1520440535662102276,,98,,1520440535,661707897,'',23.2000007629,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.796999931335449, 5.796999931335449, 5.796999931335449, 5.796999931335449]","""id0""",''
1520440535877003468,,99,,1520440535,876422175,'',23.1970005035,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440536073558698,,100,,1520440536,73152249,'',23.1979999542,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.794000148773193, 5.794000148773193, 5.794000148773193, 5.794000148773193]","""id0""",''
1520440536267815774,,101,,1520440536,267298763,'',23.1979999542,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440536472470172,,102,,1520440536,472024061,'',23.1949996948,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.798999786376953, 5.798999786376953, 5.798999786376953, 5.798999786376953]","""id0""",''
1520440536672533172,,103,,1520440536,672119494,'',23.1979999542,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440536871478066,,104,,1520440536,871149663,'',23.1989994049,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.808000087738037, 5.808000087738037, 5.808000087738037, 5.808000087738037]","""id0""",''
1520440537077171351,,105,,1520440537,76375571,'',23.1959991455,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
1520440537267612764,,106,,1520440537,267157970,'',23.2010002136,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.798999786376953, 5.798999786376953, 5.798999786376953, 5.798999786376953]","""id0""",''
1520440537462066271,,107,,1520440537,461678548,'',23.2010002136,-0.0,nan,nan,nan,1.0,2,0,3,True,"[5.802000045776367, 5.802000045776367, 5.802000045776367, 5.802000045776367]","""id0""",''
