rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1520440534883804780,,185,,1520440534,883330409,'',0.0,0.0,86,0.0,123.089279175,-0.0
1520440535000994672,,186,,1520440535,341279,'',0.0,0.0,86,0.0,122.499351501,-0.0
1520440535094522109,,187,,1520440535,93287610,'',0.0,0.0,86,0.0,122.078453064,-0.0
1520440535202384153,,188,,1520440535,200815686,'',0.0,0.0,85,0.0,121.910102844,-0.0
1520440535301763776,,189,,1520440535,300725873,'',0.0,0.0,85,0.0,122.415168762,-0.0
1520440535401070334,,190,,1520440535,400612604,'',0.0,0.0,85,0.0,123.005096436,-0.0
1520440535498051422,,191,,1520440535,495499156,'',0.0,0.0,85,0.0,122.331634521,-0.0
1520440535576991025,,192,,1520440535,576513255,'',0.0,0.0,84,0.0,122.162635803,-0.0
1520440535677309287,,193,,1520440535,676581561,'',0.0,0.0,84,0.0,122.583534241,-0.0
1520440535793534807,,194,,1520440535,792898155,'',0.0,0.0,84,0.0,121.994277954,-0.0
1520440535877142910,,195,,1520440535,876641083,'',0.0,0.0,84,0.0,123.342483521,-0.0
1520440535983500445,,196,,1520440535,983116671,'',0.0,0.0,83,0.0,123.173461914,-0.0
1520440536092923824,,197,,1520440536,92235797,'',0.0,0.0,83,0.0,122.837364197,-0.0
1520440536181930612,,198,,1520440536,181513724,'',0.0,0.0,83,0.0,123.089279175,-0.0
1520440536293924633,,199,,1520440536,292875003,'',0.0,0.0,83,0.0,122.66771698,-0.0
1520440536382531988,,200,,1520440536,382141057,'',0.0,0.0,82,0.0,122.920906067,-0.0
1520440536482331899,,201,,1520440536,482064679,'',0.0,0.0,82,0.0,122.162635803,-0.0
1520440536582265082,,202,,1520440536,581965632,'',0.0,0.0,82,0.0,122.499351501,-0.0
1520440536693234549,,203,,1520440536,692611186,'',0.0,0.0,82,0.0,123.510215759,-0.0
1520440536782755380,,204,,1520440536,782342258,'',0.0,0.0,81,0.0,122.499351501,-0.0
1520440536882365115,,205,,1520440536,881873047,'',0.0,0.0,81,0.0,122.752540588,-0.0
1520440536992440720,,206,,1520440536,991668642,'',0.0,0.0,81,0.0,122.078453064,-0.0
1520440537104809114,,207,,1520440537,104107435,'',0.0,0.0,81,0.0,122.499351501,-0.0
1520440537201696691,,208,,1520440537,201092992,'',0.0,0.0,81,0.0,122.752540588,-0.0
1520440537302649600,,209,,1520440537,301885449,'',0.0,0.0,80,0.0,122.66771698,-0.0
1520440537383188566,,210,,1520440537,382678242,'',0.0,0.0,80,0.0,122.583534241,-0.0
1520440537492260583,,211,,1520440537,491757829,'',0.0,0.0,80,0.0,122.583534241,-0.0
1520440537593298795,,212,,1520440537,592488494,'',0.0,0.0,80,0.0,122.920906067,-0.0
1520440537701780246,,213,,1520440537,700880595,'',0.0,0.0,80,0.0,122.583534241,-0.0
1520440537800813474,,214,,1520440537,800301984,'',0.0,0.0,79,0.0,122.66771698,-0.0
1520440537882600666,,215,,1520440537,882017287,'',0.0,0.0,79,0.0,123.257652283,-0.0
1520440537981846876,,216,,1520440537,981479073,'',0.0,0.0,79,0.0,122.499351501,-0.0
1520440538092716442,,217,,1520440538,91851641,'',0.0,0.0,79,0.0,123.342483521,-0.0
1520440538182981920,,218,,1520440538,182137031,'',0.0,0.0,79,0.0,122.752540588,-0.0
1520440538292215681,,219,,1520440538,291669724,'',0.0,0.0,78,0.0,123.089279175,-0.0
1520440538383661617,,220,,1520440538,383099811,'',0.0,0.0,78,0.0,121.910102844,-0.0
1520440538483669831,,221,,1520440538,482848796,'',0.0,0.0,78,0.0,122.66771698,-0.0
1520440538593726375,,222,,1520440538,592860801,'',0.0,0.0,78,0.0,121.741752625,-0.0
1520440538693445490,,223,,1520440538,692906608,'',0.0,0.0,78,0.0,122.752540588,-0.0
1520440538782845598,,224,,1520440538,782322225,'',0.0,0.0,77,0.0,122.583534241,-0.0
1520440538883357274,,225,,1520440538,882524451,'',0.0,0.0,77,0.0,122.246810913,-0.0
1520440538994765659,,226,,1520440538,992715974,'',0.0,0.0,77,0.0,123.005096436,-0.0
1520440539103431632,,227,,1520440539,102903600,'',0.0,0.0,77,0.0,123.762786865,-0.0
1520440539182587824,,228,,1520440539,181836780,'',0.0,0.0,77,0.0,123.089279175,-0.0
1520440539301032742,,229,,1520440539,300438617,'',0.0,0.0,77,0.0,122.752540588,-0.0
1520440539394023039,,230,,1520440539,393556369,'',0.0,0.0,76,0.0,121.994277954,-0.0
1520440539517508536,,231,,1520440539,516987712,'',0.0,0.0,76,0.0,122.078453064,-0.0
1520440539582334724,,232,,1520440539,582004074,'',0.0,0.0,76,0.0,123.510215759,-0.0
1520440539695531156,,233,,1520440539,694057011,'',0.0,0.0,76,0.0,122.331634521,-0.0
1520440539782770678,,234,,1520440539,782300303,'',0.0,0.0,76,0.0,122.752540588,-0.0
1520440539892869385,,235,,1520440539,892085335,'',0.0,0.0,76,0.0,122.837364197,-0.0
1520440539993401607,,236,,1520440539,992089037,'',0.0,0.0,76,0.0,122.66771698,-0.0
1520440540085282612,,237,,1520440540,82928274,'',0.0,0.0,75,0.0,122.246810913,-0.0
1520440540201984658,,238,,1520440540,200753860,'',0.0,0.0,75,0.0,122.920906067,-0.0
1520440540319869847,,239,,1520440540,319577767,'',0.0,0.0,75,0.0,122.66771698,-0.0
1520440540382450982,,240,,1520440540,382119239,'',0.0,0.0,75,0.0,122.920906067,-0.0
1520440540484395442,,241,,1520440540,483235097,'',0.0,0.0,75,0.0,121.826568604,-0.0
1520440540608122257,,242,,1520440540,606267380,'',0.0,0.0,75,0.0,122.499351501,-0.0
1520440540702332391,,243,,1520440540,700884942,'',0.0,0.0,75,0.0,122.752540588,-0.0
1520440540802434172,,244,,1520440540,800610504,'',0.0,0.0,75,0.0,121.910102844,-0.0
1520440540892038823,,245,,1520440540,891376007,'',0.0,0.0,74,0.0,122.920906067,-0.0
1520440540993997892,,246,,1520440540,993034665,'',0.0,0.0,74,0.0,122.837364197,-0.0
1520440541092817017,,247,,1520440541,92164832,'',0.0,0.0,74,0.0,122.499351501,-0.0
1520440541182266727,,248,,1520440541,181792541,'',0.0,0.0,74,0.0,122.331634521,-0.0
1520440541281745279,,249,,1520440541,281540011,'',0.0,0.0,74,0.0,123.005096436,-0.0
1520440541401246979,,250,,1520440541,400468717,'',0.0,0.0,74,0.0,122.920906067,-0.0
1520440541492252987,,251,,1520440541,491662321,'',0.0,0.0,74,0.0,123.089279175,-0.0
1520440541592748207,,252,,1520440541,592214170,'',0.0,0.0,74,0.0,122.752540588,-0.0
1520440541696388198,,253,,1520440541,695774612,'',0.0,0.0,74,0.0,123.426673889,-0.0
1520440541806908109,,254,,1520440541,805964925,'',0.0,0.0,73,0.0,122.66771698,-0.0
1520440541901606275,,255,,1520440541,900640196,'',0.0,0.0,73,0.0,123.594406128,-0.0
1520440542001344265,,256,,1520440542,365129,'',0.0,0.0,73,0.0,123.005096436,-0.0
1520440542106254172,,257,,1520440542,105627193,'',0.0,0.0,73,0.0,123.257652283,-0.0
1520440542202076032,,258,,1520440542,201022210,'',0.0,0.0,73,0.0,122.583534241,-0.0
1520440542296464697,,259,,1520440542,296033935,'',0.0,0.0,73,0.0,121.994277954,-0.0
1520440542401125205,,260,,1520440542,400517697,'',0.0,0.0,73,0.0,122.246810913,-0.0
1520440542505066555,,261,,1520440542,504101053,'',0.0,0.0,73,0.0,122.415168762,-0.0
1520440542592942200,,262,,1520440542,592384634,'',0.0,0.0,73,0.0,122.837364197,-0.0
1520440542707707902,,263,,1520440542,706435579,'',0.0,0.0,73,0.0,122.246810913,-0.0
1520440542801727313,,264,,1520440542,800828078,'',0.0,0.0,73,0.40000000596,122.837364197,-0.0
1520440542893021106,,265,,1520440542,892341584,'',0.0,0.0,73,0.409999996424,122.162635803,-0.0
1520440542993432379,,266,,1520440542,992043335,'',0.0,0.0,73,0.430000007153,121.826568604,-0.0
1520440543100889888,,267,,1520440543,100492381,'',0.0,0.0,72,0.460000008345,122.837364197,-0.0
1520440543224338119,,268,,1520440543,221683765,'',0.0,0.0,72,0.479999989271,122.499351501,-0.0
1520440543306888957,,269,,1520440543,306005786,'',0.0,0.0,72,0.5,122.078453064,-0.0
1520440543392933963,,270,,1520440543,392186995,'',0.0,0.0,72,0.519999980927,122.162635803,-0.0
1520440543501298477,,271,,1520440543,500650778,'',0.0,0.0,72,0.540000021458,122.078453064,-0.0
1520440543610300178,,272,,1520440543,609488049,'',0.0,0.0,72,0.560000002384,122.162635803,-0.0
1520440543692963058,,273,,1520440543,692228881,'',0.0,0.0,72,0.569999992847,122.415168762,-0.0
1520440543801922590,,274,,1520440543,800902589,'',0.0,0.0,72,0.569999992847,122.920906067,-0.0
1520440543893317495,,275,,1520440543,892756071,'',0.0,0.0,72,0.569999992847,122.331634521,-0.0
1520440544000041590,,276,,1520440543,999444723,'',0.0,0.0,72,0.569999992847,121.404411316,-0.0
1520440544101585857,,277,,1520440544,100467073,'',0.0,0.0,72,0.569999992847,121.404411316,-0.0
