rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1520440529148859071,,30,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529199004002,,31,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529248944733,,32,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529299296505,,33,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529348983945,,34,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529399170441,,35,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529449058905,,36,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529499022886,,37,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529549304263,,38,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529599143726,,39,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529649310065,,40,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529698994164,,41,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529749205595,,42,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529799124540,,43,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529848997469,,44,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529899229122,,45,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529949109625,,46,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440529999359558,,47,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530049386169,,48,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530099056635,,49,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530149188251,,50,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530199116771,,51,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530249110340,,52,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530299245002,,53,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530349237379,,54,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530399085345,,55,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530449047285,,56,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530499305703,,57,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530549032389,,58,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530599037432,,59,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530649181639,,60,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530699259288,,61,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530749201623,,62,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530799188255,,63,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530849070651,,64,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530899097519,,65,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530948949508,,66,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440530999168202,,67,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531049160480,,68,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531099268466,,69,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531149154145,,70,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531199326749,,71,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531249032604,,72,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531298970026,,73,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531349053884,,74,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531399046338,,75,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531449184240,,76,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531499285534,,77,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531549458658,,78,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531599345905,,79,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531648997759,,80,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
