rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,type_mask,orientation,x,y,z,w,body_rate,x,y,z,thrust
1520440529187479814,,128,,1520440529,173025344,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0355831347406,0.0922941491008,1.47398197651,0.0
1520440529302761263,,129,,1520440529,259544652,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0350737832487,0.0919765681028,1.44661021233,0.0
1520440529392184061,,130,,1520440529,376618510,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.035021789372,0.0922034606338,1.42091822624,0.0
1520440529480234678,,131,,1520440529,458396830,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0347505249083,0.092593409121,1.39541471004,0.0
1520440529583700421,,132,,1520440529,580765879,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0344314910471,0.0924051180482,1.36903619766,0.0
1520440529685193917,,133,,1520440529,667857536,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0339906290174,0.0927152186632,1.34486436844,0.0
1520440529779663501,,134,,1520440529,767902592,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0337520316243,0.0933909639716,1.32100558281,0.0
1520440529901195881,,135,,1520440529,872526464,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0334799923003,0.0941522791982,1.2960704565,0.0
1520440529977213830,,136,,1520440529,975527872,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0336334444582,0.0941357016563,1.27151656151,0.0
1520440530081561782,,137,,1520440530,64096930,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0337261296809,0.094128228724,1.24641442299,0.0
1520440530177944888,,138,,1520440530,166190208,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.034370623529,0.0935973748565,1.22340369225,0.0
1520440530278411020,,139,,1520440530,266807424,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0340352356434,0.0938878878951,1.1998821497,0.0
1520440530377249709,,140,,1520440530,371800448,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0337923690677,0.0940710157156,1.17641615868,0.0
1520440530502808397,,141,,1520440530,471001216,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0338003523648,0.0940105170012,1.15233385563,0.0
1520440530592396301,,142,,1520440530,572934016,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0338846333325,0.0934197902679,1.13025867939,0.0
1520440530702458250,,143,,1520440530,659053098,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0335197597742,0.0936153978109,1.10766339302,0.0
1520440530804256778,,144,,1520440530,773686575,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.033621083945,0.0935927331448,1.08475995064,0.0
1520440530893711434,,145,,1520440530,875986624,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0335633829236,0.0939226076007,1.06162142754,0.0
1520440530983308505,,146,,1520440530,973874112,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0335113033652,0.0942713841796,1.0395232439,0.0
1520440531091275117,,147,,1520440531,69747392,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0330948643386,0.094199500978,1.01760840416,0.0
1520440531184810892,,148,,1520440531,170458048,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0326412171125,0.0948252975941,0.996801614761,0.0
1520440531295357311,,149,,1520440531,269077952,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0325250737369,0.0960252135992,0.974479317665,0.0
1520440531402238247,,150,,1520440531,368628736,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0321222245693,0.0966794490814,0.954162359238,0.0
1520440531501648471,,151,,1520440531,470498496,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0320360064507,0.0965772867203,0.932112574577,0.0
1520440531593782737,,152,,1520440531,573273536,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0322969071567,0.0964287742972,0.912198543549,0.0
1520440531701409047,,153,,1520440531,671037120,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0319629311562,0.0962782353163,0.890814304352,0.0
1520440531783129048,,154,,1520440531,756071245,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0319720283151,0.0962899848819,0.872225224972,0.0
1520440531881722191,,155,,1520440531,867491477,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0318494327366,0.0967337712646,0.850318729877,0.0
1520440531977612416,,156,,1520440531,967379712,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0320290587842,0.0971143618226,0.831155180931,0.0
1520440532082288683,,157,,1520440532,67081472,'',0,,6.60924282495e-17,6.60924282495e-17,-0.0828055760946,-0.996565689082,,0.0319456532598,0.0977283865213,0.811591923237,0.0
