rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1520440537651673796,,0,,1520440537,651250166,'',2,"""/offb_node""","""Offboard enabled""","""/home/mathias/catkin_ws/src/drone_mocap/src/offb_node.cpp""","""main""",81,"[/rosout, /mavros/setpoint_position/local]"
1520440537677250922,,117,,1520440537,676780617,'',4,"""/mavros""","""CMD","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/command.cpp""","""std_plugins",116,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440537813176625,,118,,1520440537,812859435,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440538823514278,,119,,1520440538,823337363,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440539433324716,,120,,1520440539,432768725,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440539833339822,,121,,1520440539,833061056,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440540319812393,,122,,1520440540,319430117,'',4,"""/mavros""","""TM","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_time.cpp""","""std_plugins",304,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440540477262527,,123,,1520440540,476548220,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440540843204947,,124,,1520440540,842760202,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440541852505600,,125,,1520440541,852159441,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
