rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,monotonic,amsl,local,relative,terrain,bottom_clearance
1520440533700187465,,173,,1520440533,676592544,"""map""",122.078453064,nan,0.10877558589,nan,0.0,0.10877558589
1520440533783155169,,174,,1520440533,777075608,"""map""",122.583534241,nan,0.111257947981,nan,7.45058059692e-09,0.111257940531
1520440533877273153,,175,,1520440533,873644432,"""map""",122.246810913,nan,0.1138651371,nan,0.0,0.1138651371
1520440533978789181,,176,,1520440533,978851152,"""map""",122.66771698,nan,0.11681868881,nan,0.0,0.11681868881
1520440534077451568,,177,,1520440534,72266960,"""map""",122.331634521,nan,0.119632676244,nan,-7.45058059692e-09,0.119632683694
1520440534174368433,,178,,1520440534,173425200,"""map""",123.005096436,nan,0.122249424458,nan,-7.45058059692e-09,0.122249431908
1520440534301000073,,179,,1520440534,278557608,"""map""",122.499351501,nan,0.125557750463,nan,-1.49011611938e-08,0.125557765365
1520440534394529352,,180,,1520440534,375554112,"""map""",122.920906067,nan,0.128371044993,nan,-1.49011611938e-08,0.128371059895
1520440534478969773,,181,,1520440534,476575600,"""map""",122.752540588,nan,0.102359399199,nan,0.0,0.102359399199
1520440534575907582,,182,,1520440534,573635104,"""map""",123.005096436,nan,0.089118912816,nan,7.45058059692e-09,0.0891189053655
1520440534676439129,,183,,1520440534,669923552,"""map""",122.66771698,nan,0.0883782655001,nan,7.45058059692e-09,0.0883782580495
1520440534772572452,,184,,1520440534,767035720,"""map""",121.826568604,nan,0.0883874893188,nan,7.45058059692e-09,0.0883874818683
1520440534877724345,,185,,1520440534,864852792,"""map""",123.089279175,nan,0.088329307735,nan,0.0,0.088329307735
1520440534977751398,,186,,1520440534,967631440,"""map""",122.499351501,nan,0.0883708447218,nan,0.0,0.0883708447218
1520440535094032176,,187,,1520440535,78340285,"""map""",122.078453064,nan,0.0885316580534,nan,0.0,0.0885316580534
1520440535201331438,,188,,1520440535,177674512,"""map""",121.910102844,nan,0.088477358222,nan,7.45058059692e-09,0.0884773507714
1520440535277256581,,189,,1520440535,278574472,"""map""",122.415168762,nan,0.0893645882607,nan,7.45058059692e-09,0.0893645808101
1520440535376850398,,190,,1520440535,375431184,"""map""",123.005096436,nan,0.0905851572752,nan,0.0,0.0905851572752
1520440535496881705,,191,,1520440535,479678928,"""map""",122.331634521,nan,0.0920158773661,nan,7.45058059692e-09,0.0920158699155
1520440535576695516,,192,,1520440535,564303848,"""map""",122.162635803,nan,0.0934709608555,nan,7.45058059692e-09,0.0934709534049
1520440535677074161,,193,,1520440535,668595304,"""map""",122.583534241,nan,0.0950990766287,nan,7.45058059692e-09,0.0950990691781
1520440535793123383,,194,,1520440535,774280576,"""map""",121.994277954,nan,0.0969095155597,nan,0.0,0.0969095155597
1520440535877107284,,195,,1520440535,876234040,"""map""",123.342483521,nan,0.0988092720509,nan,0.0,0.0988092720509
1520440535977055942,,196,,1520440535,978569112,"""map""",123.173461914,nan,0.100564569235,nan,0.0,0.100564569235
1520440536082150280,,197,,1520440536,74797736,"""map""",122.837364197,nan,0.102868512273,nan,7.45058059692e-09,0.102868504822
1520440536181719579,,198,,1520440536,178346056,"""map""",123.089279175,nan,0.105113491416,nan,0.0,0.105113491416
1520440536281273844,,199,,1520440536,276662840,"""map""",122.66771698,nan,0.107485361397,nan,0.0,0.107485361397
1520440536382340802,,200,,1520440536,376441968,"""map""",122.920906067,nan,0.109973624349,nan,0.0,0.109973624349
1520440536482302322,,201,,1520440536,473593304,"""map""",122.162635803,nan,0.0903176516294,nan,7.45058059692e-09,0.0903176441789
1520440536578182945,,202,,1520440536,576215896,"""map""",122.499351501,nan,0.0887090712786,nan,0.0,0.0887090712786
1520440536692816672,,203,,1520440536,676138544,"""map""",123.510215759,nan,0.0886279866099,nan,0.0,0.0886279866099
1520440536782576360,,204,,1520440536,775534480,"""map""",122.499351501,nan,0.0886240303516,nan,0.0,0.0886240303516
