rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1520440537701313260,,0,,1520440537,677678144,'',1,0,,0.00803159549832,-0.0189682580531,0.0886498093605,,4.7700759751e-05,0.000114648508315,-9.16570425034e-05,,0.00594675214961,0.014441549778,4.88002538681,-1.40499532223,-0.0
1520440537800586272,,1,,1520440537,781815680,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00751077150926,0.0182985365391,0.35131958127,,-0.000588960887399,0.0297489278018,5.57132387161,-1.57079637051,-0.0
1520440537882297973,,2,,1520440537,876718656,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00778405368328,0.0176411997527,0.411668598652,,-0.00170113914646,0.0299264248461,5.69919729233,-1.57079637051,-0.0
1520440537982617168,,3,,1520440537,977718656,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00776212755591,0.0177026167512,0.411618709564,,-0.00131943530869,0.0293266940862,5.70734024048,-1.57079637051,-0.0
1520440538092354100,,4,,1520440538,74888320,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00777260400355,0.0176560040563,0.411653459072,,-0.00105240964331,0.0311679001898,5.7156996727,-1.57079637051,-0.0
1520440538182424424,,5,,1520440538,177734528,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00780206453055,0.0176031719893,0.411697208881,,-0.00161713187117,0.0315876677632,5.72315835953,-1.57079637051,-0.0
1520440538292028298,,6,,1520440538,275241600,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00768037047237,0.0178905967623,0.41146916151,,-0.00115263520274,0.0331308804452,5.72959947586,-1.57079637051,-0.0
1520440538383649590,,7,,1520440538,375957632,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00778871774673,0.0176534764469,0.411646842957,,-0.00267129647546,0.0321581996977,5.73890686035,-1.57079637051,-0.0
1520440538483489012,,8,,1520440538,474945152,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00782844144851,0.0175781790167,0.411702573299,,-0.00272540166043,0.0334997437894,5.74658918381,-1.57079637051,-0.0
1520440538593257744,,9,,1520440538,577591680,'',1,0,,-6.12323399574e-17,6.12323426293e-17,0.5,,-0.00776097457856,0.0177928060293,0.411556482315,,-0.00232737860642,0.0356356091797,5.75448560715,-1.57079637051,-0.0
